month,sales_volume,total_revenue,median_price,sales_volume_prev_year,total_revenue_prev_year,median_price_prev_year,yoy_sales_volume,yoy_total_revenue,yoy_median_price
1995-01-01,50470,3449898369.0,54000.0,,,,,,
1995-02-01,50849,3337149272.0,53000.0,,,,,,
1995-03-01,71306,4688188369.0,53000.0,,,,,,
1995-04-01,60297,4086905472.0,54500.0,,,,,,
1995-05-01,67841,4547134078.0,54500.0,,,,,,
1995-06-01,76935,5228492385.0,55000.0,,,,,,
1995-07-01,67869,4770074618.0,56000.0,,,,,,
1995-08-01,73279,5170062958.0,56000.0,,,,,,
1995-09-01,71484,4882711277.0,55000.0,,,,,,
1995-10-01,65033,4391998628.0,54000.0,,,,,,
1995-11-01,67917,4551486975.0,54000.0,,,,,,
1995-12-01,73497,4996955204.0,55000.0,,,,,,
1996-01-01,51465,3511688915.0,54000.0,50470,3449898369.0,54000.0,0.019714681989300573,0.0179108308103322,0.0
1996-02-01,54459,3615109973.0,53250.0,50849,3337149272.0,53000.0,0.07099451316643395,0.08329285816855722,0.0047169811320754715
1996-03-01,73155,4844829632.0,53500.0,71306,4688188369.0,53000.0,0.025930496732392786,0.03341189616777534,0.009433962264150943
1996-04-01,68236,4753494976.0,55000.0,60297,4086905472.0,54500.0,0.1316649252864985,0.16310372446020693,0.009174311926605505
1996-05-01,83582,5803232753.0,56000.0,67841,4547134078.0,54500.0,0.23202782977845257,0.2762396387380069,0.027522935779816515
1996-06-01,79960,5676430130.0,57000.0,76935,5228492385.0,55000.0,0.03931890556963671,0.08567244857907544,0.03636363636363636
1996-07-01,90164,6644278195.0,58000.0,67869,4770074618.0,56000.0,0.3285004935979608,0.3929086496734546,0.03571428571428571
1996-08-01,96444,7201587015.0,59000.0,73279,5170062958.0,56000.0,0.3161205802480929,0.3929399068257923,0.05357142857142857
1996-09-01,84796,6249214319.0,58000.0,71484,4882711277.0,55000.0,0.18622349057131665,0.2798656247476498,0.05454545454545454
1996-10-01,91521,6658132820.0,57500.0,65033,4391998628.0,54000.0,0.407300908769394,0.515968784132325,0.06481481481481481
1996-11-01,99225,7206788239.0,57995.0,67917,4551486975.0,54000.0,0.4609744246654004,0.5833920383788421,0.07398148148148148
1996-12-01,91688,6777305241.0,59000.0,73497,4996955204.0,55000.0,0.24750670095378044,0.35628697162921374,0.07272727272727272
1997-01-01,70717,5275925683.0,58000.0,51465,3511688915.0,54000.0,0.37407947148547555,0.5023898217362457,0.07407407407407407
1997-02-01,70350,5167002780.0,58000.0,54459,3615109973.0,53250.0,0.291797499035972,0.4292795568020193,0.0892018779342723
1997-03-01,81372,5963491779.0,57750.0,73155,4844829632.0,53500.0,0.11232314947713759,0.2308981392475103,0.0794392523364486
1997-04-01,83563,6400301295.0,59500.0,68236,4753494976.0,55000.0,0.22461750395685562,0.34644116114871015,0.08181818181818182
1997-05-01,96931,7479616935.0,60000.0,83582,5803232753.0,56000.0,0.15971142111937978,0.2888707472801927,0.07142857142857142
1997-06-01,100972,7999186240.0,60000.0,79960,5676430130.0,57000.0,0.26278139069534767,0.4091931120096426,0.05263157894736842
1997-07-01,108740,8865115322.0,62250.0,90164,6644278195.0,58000.0,0.20602457743667096,0.33424806454841705,0.07327586206896551
1997-08-01,104707,8445522468.0,62500.0,96444,7201587015.0,59000.0,0.08567666210443366,0.17273073982290832,0.059322033898305086
1997-09-01,94969,7735115216.0,62000.0,84796,6249214319.0,58000.0,0.1199702816170574,0.23777403384650986,0.06896551724137931
1997-10-01,101801,8096889225.0,60000.0,91521,6658132820.0,57500.0,0.1123239475093148,0.2160900726819685,0.043478260869565216
1997-11-01,86603,6886577326.0,61000.0,99225,7206788239.0,57995.0,-0.1272058453010834,-0.044431847083720034,0.05181481162169153
1997-12-01,92944,7530962938.0,63000.0,91688,6777305241.0,59000.0,0.0136986301369863,0.1112031508394621,0.06779661016949153
1998-01-01,64699,5320402227.0,62000.0,70717,5275925683.0,58000.0,-0.08509976384744827,0.008430092968009686,0.06896551724137931
1998-02-01,66460,5334941999.0,60000.0,70350,5167002780.0,58000.0,-0.05529495380241649,0.032502250560043244,0.034482758620689655
1998-03-01,81648,6721339764.0,62000.0,81372,5963491779.0,57750.0,0.0033918301135525734,0.127081249221925,0.0735930735930736
1998-04-01,84468,7127156215.0,64995.0,83563,6400301295.0,59500.0,0.010830152100810167,0.11356573487686097,0.09235294117647058
1998-05-01,91693,7711034059.0,65000.0,96931,7479616935.0,60000.0,-0.05403843971484871,0.030939702662727338,0.08333333333333333
1998-06-01,97092,8366892880.0,66000.0,100972,7999186240.0,60000.0,-0.03842649447371548,0.045968005865556646,0.1
1998-07-01,109629,9652126417.0,67000.0,108740,8865115322.0,62250.0,0.008175464410520507,0.08877618241997642,0.07630522088353414
1998-08-01,94240,8405424791.0,67500.0,104707,8445522468.0,62500.0,-0.09996466329853783,-0.004747803010640217,0.08
1998-09-01,90205,7981615622.0,67000.0,94969,7735115216.0,62000.0,-0.05016373764070381,0.03186770967420326,0.08064516129032258
1998-10-01,93808,8008495687.0,65000.0,101801,8096889225.0,60000.0,-0.07851592813430124,-0.010916975092987023,0.08333333333333333
1998-11-01,86683,7345487721.0,65500.0,86603,6886577326.0,61000.0,0.0009237555280994885,0.0666383855543743,0.07377049180327869
1998-12-01,89114,7667032697.0,66500.0,92944,7530962938.0,63000.0,-0.041207608882768115,0.018068042575726192,0.05555555555555555
1999-01-01,63543,5520448123.0,65950.0,64699,5320402227.0,62000.0,-0.017867354982302665,0.03759976924015373,0.06370967741935483
1999-02-01,65898,5716864043.0,66000.0,66460,5334941999.0,60000.0,-0.008456214264219079,0.0715887902945503,0.1
1999-03-01,88829,7867912434.0,67500.0,81648,6721339764.0,62000.0,0.08795071526553008,0.17058692318176344,0.08870967741935484
1999-04-01,94193,8540718986.0,69000.0,84468,7127156215.0,64995.0,0.11513235781597765,0.19833475349185958,0.06162012462497115
1999-05-01,94179,8609991102.0,70000.0,91693,7711034059.0,65000.0,0.027112211401088413,0.11658060853080716,0.07692307692307693
1999-06-01,106249,10227357302.0,73000.0,97092,8366892880.0,66000.0,0.09431261071972974,0.22236025352340832,0.10606060606060606
1999-07-01,126211,12447247728.0,74450.0,109629,9652126417.0,67000.0,0.1512555984274234,0.2895860653127208,0.11119402985074626
1999-08-01,114338,11456587840.0,75000.0,94240,8405424791.0,67500.0,0.21326400679117147,0.3629992683138386,0.1111111111111111
1999-09-01,108201,11094550928.0,76000.0,90205,7981615622.0,67000.0,0.19950113630064853,0.39001318197029056,0.13432835820895522
1999-10-01,113654,11202852168.0,75000.0,93808,8008495687.0,65000.0,0.2115597816817329,0.3988709747556364,0.15384615384615385
1999-11-01,110040,10988485106.0,75000.0,86683,7345487721.0,65500.0,0.26945306461474566,0.49595037434819234,0.1450381679389313
1999-12-01,108729,10942800626.0,76500.0,89114,7667032697.0,66500.0,0.2201113180869448,0.42725367928608954,0.15037593984962405
2000-01-01,72281,7480290485.0,76000.0,63543,5520448123.0,65950.0,0.13751318005130383,0.3550150854302304,0.15238817285822592
2000-02-01,77065,7786526993.0,76000.0,65898,5716864043.0,66000.0,0.16945886066344956,0.3620276666425527,0.15151515151515152
2000-03-01,102746,10727794929.0,76950.0,88829,7867912434.0,67500.0,0.15667180763039099,0.3634868230919104,0.14
2000-04-01,94536,10027417626.0,79000.0,94193,8540718986.0,69000.0,0.003641459556442623,0.17407183662605052,0.14492753623188406
2000-05-01,98151,10469395962.0,80000.0,94179,8609991102.0,70000.0,0.04217500716720288,0.2159589757959311,0.14285714285714285
2000-06-01,112331,12011585599.0,81000.0,106249,10227357302.0,73000.0,0.057242891697804214,0.17445643525635768,0.1095890410958904
2000-07-01,101652,11195458741.0,81950.0,126211,12447247728.0,74450.0,-0.19458684266823018,-0.10056753222514477,0.10073875083948959
2000-08-01,100769,11200446034.0,83000.0,114338,11456587840.0,75000.0,-0.11867445643618045,-0.022357599799976743,0.10666666666666667
2000-09-01,94313,10216198302.0,80750.0,108201,11094550928.0,76000.0,-0.12835371207290136,-0.07916973221360835,0.0625
2000-10-01,88820,9644245627.0,80500.0,113654,11202852168.0,75000.0,-0.2185052879793056,-0.13912586880794767,0.07333333333333333
2000-11-01,89023,9798947220.0,82000.0,110040,10988485106.0,75000.0,-0.19099418393311524,-0.10825312811776769,0.09333333333333334
2000-12-01,97055,10697444992.0,84000.0,108729,10942800626.0,76500.0,-0.10736785954069292,-0.02242164893482909,0.09803921568627451
2001-01-01,69072,7755454341.0,83000.0,72281,7480290485.0,76000.0,-0.044396176035195974,0.036785183216049934,0.09210526315789473
2001-02-01,71680,7888498399.0,83000.0,77065,7786526993.0,76000.0,-0.06987607863491857,0.013095877801704296,0.09210526315789473
2001-03-01,96306,10736051761.0,84500.0,102746,10727794929.0,76950.0,-0.06267883907889359,0.0007696672107032593,0.09811565951916829
2001-04-01,94203,10998772359.0,88000.0,94536,10027417626.0,79000.0,-0.0035224676313785224,0.09686987908844877,0.11392405063291139
2001-05-01,105642,12358923954.0,89000.0,98151,10469395962.0,80000.0,0.0763211785921692,0.18048108972650204,0.1125
2001-06-01,120892,14445021993.0,91000.0,112331,12011585599.0,81000.0,0.07621226553667287,0.20259077154664668,0.12345679012345678
2001-07-01,120528,14905203092.0,92500.0,101652,11195458741.0,81950.0,0.18569236217683863,0.33136153120855844,0.12873703477730322
2001-08-01,132875,16534366564.0,94950.0,100769,11200446034.0,83000.0,0.31860988994631284,0.476223939101031,0.14397590361445783
2001-09-01,104710,12961129270.0,94950.0,94313,10216198302.0,80750.0,0.11023930953315025,0.26868419022980705,0.17585139318885448
2001-10-01,112723,13497864635.0,92500.0,88820,9644245627.0,80500.0,0.2691173159198379,0.399577028317427,0.14906832298136646
2001-11-01,116767,13714431078.0,91000.0,89023,9798947220.0,82000.0,0.3116497983667142,0.39958209490182356,0.10975609756097561
2001-12-01,99714,12167128221.0,95000.0,97055,10697444992.0,84000.0,0.027396836845087837,0.13738637871931952,0.13095238095238096
2002-01-01,76711,9368807300.0,93500.0,69072,7755454341.0,83000.0,0.1105947417187862,0.20802816805597643,0.12650602409638553
2002-02-01,82717,10004729617.0,94000.0,71680,7888498399.0,83000.0,0.15397600446428572,0.26826794035583096,0.13253012048192772
2002-03-01,110357,13738892751.0,96995.0,96306,10736051761.0,84500.0,0.14589952858596555,0.2796969553470468,0.1478698224852071
2002-04-01,106496,13905084192.0,101525.0,94203,10998772359.0,88000.0,0.13049478254408034,0.2642396567669521,0.1536931818181818
2002-05-01,141078,18578075181.0,105000.0,105642,12358923954.0,89000.0,0.33543477026182766,0.5032113839479654,0.1797752808988764
2002-06-01,111527,15641043106.0,113000.0,120892,14445021993.0,91000.0,-0.07746583727624656,0.08279815105713145,0.24175824175824176
2002-07-01,134879,19435278324.0,115000.0,120528,14905203092.0,92500.0,0.11906776848533121,0.30392576364366386,0.24324324324324326
2002-08-01,134784,19743407931.0,118558.5,132875,16534366564.0,94950.0,0.014366886171213547,0.19408311498228134,0.24864139020537124
2002-09-01,111120,16287436301.0,119950.0,104710,12961129270.0,94950.0,0.06121669372552765,0.25663713104838126,0.2632964718272775
2002-10-01,113307,16430964037.0,119000.0,112723,13497864635.0,92500.0,0.005180841531896773,0.2173009939953365,0.2864864864864865
2002-11-01,118909,17044417856.0,118000.0,116767,13714431078.0,91000.0,0.018344223967388048,0.24280896225741344,0.2967032967032967
2002-12-01,109371,16132059675.0,122995.0,99714,12167128221.0,95000.0,0.09684698236957699,0.3258724147540978,0.29468421052631577
2003-01-01,85396,12633863157.0,120000.0,76711,9368807300.0,93500.0,0.11321713965402615,0.34850282991731507,0.28342245989304815
2003-02-01,81046,11710593933.0,120000.0,82717,10004729617.0,94000.0,-0.02020140962559087,0.1705057888922257,0.2765957446808511
2003-03-01,86292,12425114936.0,120000.0,110357,13738892751.0,96995.0,-0.21806500720389282,-0.09562472309891022,0.2371771740811382
2003-04-01,89230,13219933547.0,124000.0,106496,13905084192.0,101525.0,-0.16212815504807693,-0.04927339062025868,0.22137404580152673
2003-05-01,98537,14576237720.0,124950.0,141078,18578075181.0,105000.0,-0.30154240916372504,-0.21540646283382053,0.19
2003-06-01,101656,15408624675.0,128000.0,111527,15641043106.0,113000.0,-0.08850771562043272,-0.014859522438809907,0.13274336283185842
2003-07-01,110868,17515021970.0,130000.0,134879,19435278324.0,115000.0,-0.17801881686548685,-0.09880261666377771,0.13043478260869565
2003-08-01,117704,18955848157.0,134000.0,134784,19743407931.0,118558.5,-0.12672127255460588,-0.03988975848305385,0.1302437193453021
2003-09-01,113890,18495651580.0,135000.0,111120,16287436301.0,119950.0,0.024928005759539237,0.13557783055547068,0.12546894539391412
2003-10-01,128294,20598751198.0,135000.0,113307,16430964037.0,119000.0,0.13226896837794663,0.25365445092660327,0.13445378151260504
2003-11-01,120258,19609521996.0,136000.0,118909,17044417856.0,118000.0,0.011344809896643653,0.1504952625352956,0.15254237288135594
2003-12-01,123969,20577429098.0,140000.0,109371,16132059675.0,122995.0,0.1334723098444743,0.2755611814335791,0.1382576527501118
2004-01-01,92563,15335669106.0,138000.0,85396,12633863157.0,120000.0,0.08392664761815542,0.21385429899191363,0.15
2004-02-01,92446,15207471227.0,139000.0,81046,11710593933.0,120000.0,0.1406608592651087,0.29860802227510724,0.15833333333333333
2004-03-01,107631,18027133906.0,140000.0,86292,12425114936.0,120000.0,0.24728827701293282,0.4508625472565206,0.16666666666666666
2004-04-01,121861,20994997603.0,144995.0,89230,13219933547.0,124000.0,0.3656953939258097,0.5881318562122724,0.16931451612903226
2004-05-01,112079,19510700638.0,147500.0,98537,14576237720.0,124950.0,0.13743060982169134,0.3385278844093934,0.18047218887555022
2004-06-01,126459,22800614854.0,152000.0,101656,15408624675.0,128000.0,0.24398953332808687,0.4797306920580178,0.1875
2004-07-01,134869,24986522010.0,155000.0,110868,17515021970.0,130000.0,0.21648266406898292,0.42657668673195503,0.19230769230769232
2004-08-01,115810,21886331201.0,159000.0,117704,18955848157.0,134000.0,-0.016091211853462923,0.15459519509380718,0.1865671641791045
2004-09-01,99861,18891495619.0,158000.0,113890,18495651580.0,135000.0,-0.12318026165598385,0.021402005616716964,0.17037037037037037
2004-10-01,95945,17468790581.0,154000.0,128294,20598751198.0,135000.0,-0.25214741141440755,-0.15194904714922222,0.14074074074074075
2004-11-01,84808,15521717361.0,155000.0,120258,19609521996.0,136000.0,-0.29478288346721215,-0.20846018764933896,0.13970588235294118
2004-12-01,86077,15929809387.0,157000.0,123969,20577429098.0,140000.0,-0.30565705942614685,-0.22586007653656404,0.12142857142857143
2005-01-01,57063,10508893130.0,152950.0,92563,15335669106.0,138000.0,-0.38352257381459115,-0.3147417920038161,0.10833333333333334
2005-02-01,59689,10818679643.0,151000.0,92446,15207471227.0,139000.0,-0.35433658568245247,-0.28859443614846036,0.08633093525179857
2005-03-01,72094,13248894577.0,152500.0,107631,18027133906.0,140000.0,-0.3301743921360946,-0.265058181401185,0.08928571428571429
2005-04-01,84320,15351998393.0,151000.0,121861,20994997603.0,144995.0,-0.3080641058254897,-0.26877827360140616,0.041415221214524636
2005-05-01,85164,15750139330.0,155000.0,112079,19510700638.0,147500.0,-0.2401431133396979,-0.19274352970573214,0.05084745762711865
2005-06-01,97828,18451775467.0,158300.0,126459,22800614854.0,152000.0,-0.22640539621537414,-0.19073342604342383,0.04144736842105263
2005-07-01,102852,19874705959.0,159500.0,134869,24986522010.0,155000.0,-0.2373933224091526,-0.20458293671100647,0.02903225806451613
2005-08-01,100560,19711014701.0,160000.0,115810,21886331201.0,159000.0,-0.13168120196874192,-0.09939155539694147,0.006289308176100629
2005-09-01,102169,19794428455.0,159999.0,99861,18891495619.0,158000.0,0.023112125854938364,0.04779573064039891,0.012651898734177216
2005-10-01,94273,17939430998.0,159000.0,95945,17468790581.0,154000.0,-0.017426650685288446,0.026941785970683852,0.032467532467532464
2005-11-01,97285,18651877202.0,159995.0,84808,15521717361.0,155000.0,0.1471205546646543,0.20166324177921616,0.0322258064516129
2005-12-01,108389,20824546402.0,160000.0,86077,15929809387.0,157000.0,0.2592097772924242,0.3072690260182584,0.01910828025477707
2006-01-01,77466,15169964067.0,158750.0,57063,10508893130.0,152950.0,0.3575521791703906,0.44353585856667666,0.03792088917947042
2006-02-01,80556,15325475125.0,158000.0,59689,10818679643.0,151000.0,0.34959540283804386,0.4165753706290793,0.046357615894039736
2006-03-01,105696,20321128105.0,158000.0,72094,13248894577.0,152500.0,0.46608594335173525,0.5337980075920714,0.036065573770491806
2006-04-01,96965,19203935265.0,162000.0,84320,15351998393.0,151000.0,0.14996442125237192,0.2509078475253329,0.0728476821192053
2006-05-01,107077,21209921902.0,163250.0,85164,15750139330.0,155000.0,0.25730355549293127,0.3466497951291457,0.0532258064516129
2006-06-01,128106,25824099286.0,165000.0,97828,18451775467.0,158300.0,0.30950239195322404,0.39954549805708406,0.04232469993682881
2006-07-01,119158,24996708260.0,170000.0,102852,19874705959.0,159500.0,0.15853848247967953,0.2577146203604873,0.06583072100313479
