month,median_price,median_price_index
1995-01-01,54000.0,100.0
1995-02-01,53000.0,98.14814814814815
1995-03-01,53000.0,98.14814814814815
1995-04-01,54500.0,100.92592592592592
1995-05-01,54500.0,100.92592592592592
1995-06-01,55000.0,101.85185185185185
1995-07-01,56000.0,103.70370370370371
1995-08-01,56000.0,103.70370370370371
1995-09-01,55000.0,101.85185185185185
1995-10-01,54000.0,100.0
1995-11-01,54000.0,100.0
1995-12-01,55000.0,101.85185185185185
1996-01-01,54000.0,100.0
1996-02-01,53250.0,98.61111111111111
1996-03-01,53500.0,99.07407407407408
1996-04-01,55000.0,101.85185185185185
1996-05-01,56000.0,103.70370370370371
1996-06-01,57000.0,105.55555555555556
1996-07-01,58000.0,107.4074074074074
1996-08-01,59000.0,109.25925925925925
1996-09-01,58000.0,107.4074074074074
1996-10-01,57500.0,106.48148148148148
1996-11-01,57995.0,107.39814814814815
1996-12-01,59000.0,109.25925925925925
1997-01-01,58000.0,107.4074074074074
1997-02-01,58000.0,107.4074074074074
1997-03-01,57750.0,106.94444444444444
1997-04-01,59500.0,110.18518518518519
1997-05-01,60000.0,111.11111111111111
1997-06-01,60000.0,111.11111111111111
1997-07-01,62250.0,115.27777777777777
1997-08-01,62500.0,115.74074074074075
1997-09-01,62000.0,114.81481481481481
1997-10-01,60000.0,111.11111111111111
1997-11-01,61000.0,112.96296296296296
1997-12-01,63000.0,116.66666666666667
1998-01-01,62000.0,114.81481481481481
1998-02-01,60000.0,111.11111111111111
1998-03-01,62000.0,114.81481481481481
1998-04-01,64995.0,120.36111111111111
1998-05-01,65000.0,120.37037037037037
1998-06-01,66000.0,122.22222222222223
1998-07-01,67000.0,124.07407407407408
1998-08-01,67500.0,125.0
1998-09-01,67000.0,124.07407407407408
1998-10-01,65000.0,120.37037037037037
1998-11-01,65500.0,121.29629629629629
1998-12-01,66500.0,123.14814814814815
1999-01-01,65950.0,122.12962962962963
1999-02-01,66000.0,122.22222222222223
1999-03-01,67500.0,125.0
1999-04-01,69000.0,127.77777777777777
1999-05-01,70000.0,129.62962962962962
1999-06-01,73000.0,135.1851851851852
1999-07-01,74450.0,137.87037037037038
1999-08-01,75000.0,138.88888888888889
1999-09-01,76000.0,140.74074074074073
1999-10-01,75000.0,138.88888888888889
1999-11-01,75000.0,138.88888888888889
1999-12-01,76500.0,141.66666666666666
2000-01-01,76000.0,140.74074074074073
2000-02-01,76000.0,140.74074074074073
2000-03-01,76950.0,142.5
2000-04-01,79000.0,146.2962962962963
2000-05-01,80000.0,148.14814814814815
2000-06-01,81000.0,150.0
2000-07-01,81950.0,151.75925925925927
2000-08-01,83000.0,153.7037037037037
2000-09-01,80750.0,149.53703703703704
2000-10-01,80500.0,149.07407407407408
2000-11-01,82000.0,151.85185185185185
2000-12-01,84000.0,155.55555555555554
2001-01-01,83000.0,153.7037037037037
2001-02-01,83000.0,153.7037037037037
2001-03-01,84500.0,156.4814814814815
2001-04-01,88000.0,162.96296296296296
2001-05-01,89000.0,164.8148148148148
2001-06-01,91000.0,168.5185185185185
2001-07-01,92500.0,171.2962962962963
2001-08-01,94950.0,175.83333333333334
2001-09-01,94950.0,175.83333333333334
2001-10-01,92500.0,171.2962962962963
2001-11-01,91000.0,168.5185185185185
2001-12-01,95000.0,175.92592592592592
2002-01-01,93500.0,173.14814814814815
2002-02-01,94000.0,174.07407407407408
2002-03-01,96995.0,179.62037037037038
2002-04-01,101525.0,188.00925925925927
2002-05-01,105000.0,194.44444444444446
2002-06-01,113000.0,209.25925925925927
2002-07-01,115000.0,212.96296296296296
2002-08-01,118558.5,219.55277777777778
2002-09-01,119950.0,222.12962962962962
2002-10-01,119000.0,220.37037037037038
2002-11-01,118000.0,218.5185185185185
2002-12-01,122995.0,227.7685185185185
2003-01-01,120000.0,222.22222222222223
2003-02-01,120000.0,222.22222222222223
2003-03-01,120000.0,222.22222222222223
2003-04-01,124000.0,229.62962962962962
2003-05-01,124950.0,231.38888888888889
2003-06-01,128000.0,237.03703703703704
2003-07-01,130000.0,240.74074074074073
2003-08-01,134000.0,248.14814814814815
2003-09-01,135000.0,250.0
2003-10-01,135000.0,250.0
2003-11-01,136000.0,251.85185185185185
2003-12-01,140000.0,259.25925925925924
2004-01-01,138000.0,255.55555555555554
2004-02-01,139000.0,257.4074074074074
2004-03-01,140000.0,259.25925925925924
2004-04-01,144995.0,268.50925925925924
2004-05-01,147500.0,273.14814814814815
2004-06-01,152000.0,281.48148148148147
2004-07-01,155000.0,287.037037037037
2004-08-01,159000.0,294.44444444444446
2004-09-01,158000.0,292.5925925925926
2004-10-01,154000.0,285.18518518518516
2004-11-01,155000.0,287.037037037037
2004-12-01,157000.0,290.74074074074076
2005-01-01,152950.0,283.24074074074076
2005-02-01,151000.0,279.6296296296296
2005-03-01,152500.0,282.4074074074074
2005-04-01,151000.0,279.6296296296296
2005-05-01,155000.0,287.037037037037
2005-06-01,158300.0,293.14814814814815
2005-07-01,159500.0,295.3703703703704
2005-08-01,160000.0,296.2962962962963
2005-09-01,159999.0,296.2944444444444
2005-10-01,159000.0,294.44444444444446
2005-11-01,159995.0,296.287037037037
2005-12-01,160000.0,296.2962962962963
2006-01-01,158750.0,293.98148148148147
2006-02-01,158000.0,292.5925925925926
2006-03-01,158000.0,292.5925925925926
2006-04-01,162000.0,300.0
2006-05-01,163250.0,302.31481481481484
2006-06-01,165000.0,305.55555555555554
2006-07-01,170000.0,314.81481481481484
2006-08-01,173000.0,320.3703703703704
2006-09-01,169995.0,314.80555555555554
2006-10-01,170000.0,314.81481481481484
2006-11-01,169950.0,314.72222222222223
2006-12-01,170000.0,314.81481481481484
2007-01-01,170000.0,314.81481481481484
2007-02-01,169000.0,312.962962962963
2007-03-01,168250.0,311.5740740740741
2007-04-01,171000.0,316.6666666666667
2007-05-01,175000.0,324.0740740740741
2007-06-01,176000.0,325.9259259259259
2007-07-01,180000.0,333.3333333333333
2007-08-01,182500.0,337.962962962963
2007-09-01,180000.0,333.3333333333333
2007-10-01,180000.0,333.3333333333333
2007-11-01,178000.0,329.6296296296296
2007-12-01,177500.0,328.7037037037037
2008-01-01,175000.0,324.0740740740741
2008-02-01,171695.0,317.9537037037037
2008-03-01,172000.0,318.51851851851853
2008-04-01,172500.0,319.44444444444446
2008-05-01,175000.0,324.0740740740741
2008-06-01,175000.0,324.0740740740741
2008-07-01,175000.0,324.0740740740741
2008-08-01,175000.0,324.0740740740741
2008-09-01,168000.0,311.1111111111111
2008-10-01,164995.0,305.5462962962963
2008-11-01,160000.0,296.2962962962963
2008-12-01,160000.0,296.2962962962963
2009-01-01,160000.0,296.2962962962963
2009-02-01,157000.0,290.74074074074076
2009-03-01,153175.0,283.6574074074074
2009-04-01,160000.0,296.2962962962963
2009-05-01,162500.0,300.9259259259259
2009-06-01,165000.0,305.55555555555554
2009-07-01,172000.0,318.51851851851853
2009-08-01,175000.0,324.0740740740741
2009-09-01,175000.0,324.0740740740741
2009-10-01,174950.0,323.98148148148147
2009-11-01,175000.0,324.0740740740741
2009-12-01,169000.0,312.962962962963
2010-01-01,193500.0,358.3333333333333
2010-02-01,180000.0,333.3333333333333
2010-03-01,175000.0,324.0740740740741
2010-04-01,177000.0,327.77777777777777
2010-05-01,180000.0,333.3333333333333
2010-06-01,182200.0,337.4074074074074
2010-07-01,185000.0,342.5925925925926
2010-08-01,188500.0,349.0740740740741
2010-09-01,185000.0,342.5925925925926
2010-10-01,180000.0,333.3333333333333
2010-11-01,179950.0,333.24074074074076
2010-12-01,177000.0,327.77777777777777
2011-01-01,176500.0,326.85185185185185
2011-02-01,173000.0,320.3703703703704
2011-03-01,170000.0,314.81481481481484
2011-04-01,175000.0,324.0740740740741
2011-05-01,175000.0,324.0740740740741
2011-06-01,175000.0,324.0740740740741
2011-07-01,180000.0,333.3333333333333
2011-08-01,182950.0,338.7962962962963
2011-09-01,180000.0,333.3333333333333
2011-10-01,177000.0,327.77777777777777
2011-11-01,176000.0,325.9259259259259
2011-12-01,175000.0,324.0740740740741
2012-01-01,176000.0,325.9259259259259
2012-02-01,175000.0,324.0740740740741
2012-03-01,175000.0,324.0740740740741
2012-04-01,175000.0,324.0740740740741
2012-05-01,180000.0,333.3333333333333
2012-06-01,181000.0,335.18518518518516
2012-07-01,186000.0,344.44444444444446
2012-08-01,186150.0,344.72222222222223
2012-09-01,185000.0,342.5925925925926
2012-10-01,182000.0,337.037037037037
2012-11-01,180000.0,333.3333333333333
2012-12-01,180000.0,333.3333333333333
2013-01-01,182000.0,337.037037037037
2013-02-01,175000.0,324.0740740740741
2013-03-01,177000.0,327.77777777777777
2013-04-01,179000.0,331.48148148148147
2013-05-01,180000.0,333.3333333333333
2013-06-01,184000.0,340.74074074074076
2013-07-01,189000.0,350.0
2013-08-01,190000.0,351.85185185185185
2013-09-01,190000.0,351.85185185185185
2013-10-01,186000.0,344.44444444444446
2013-11-01,183500.0,339.81481481481484
2013-12-01,185000.0,342.5925925925926
2014-01-01,185000.0,342.5925925925926
2014-02-01,183000.0,338.8888888888889
2014-03-01,180000.0,333.3333333333333
2014-04-01,187000.0,346.2962962962963
2014-05-01,185000.0,342.5925925925926
2014-06-01,190000.0,351.85185185185185
2014-07-01,195000.0,361.1111111111111
2014-08-01,199000.0,368.51851851851853
2014-09-01,199995.0,370.3611111111111
2014-10-01,195000.0,361.1111111111111
2014-11-01,194950.0,361.01851851851853
2014-12-01,195000.0,361.1111111111111
2015-01-01,195250.0,361.5740740740741
2015-02-01,193500.0,358.3333333333333
2015-03-01,191995.0,355.5462962962963
2015-04-01,196000.0,362.962962962963
2015-05-01,195000.0,361.1111111111111
2015-06-01,204950.0,379.537037037037
2015-07-01,208000.0,385.18518518518516
2015-08-01,214000.0,396.2962962962963
2015-09-01,213000.0,394.44444444444446
2015-10-01,210000.0,388.8888888888889
2015-11-01,210000.0,388.8888888888889
2015-12-01,210000.0,388.8888888888889
2016-01-01,210000.0,388.8888888888889
2016-02-01,207000.0,383.3333333333333
2016-03-01,205000.0,379.6296296296296
2016-04-01,210000.0,388.8888888888889
2016-05-01,212000.0,392.5925925925926
2016-06-01,220000.0,407.4074074074074
2016-07-01,218500.0,404.6296296296296
2016-08-01,220000.0,407.4074074074074
2016-09-01,217000.0,401.85185185185185
2016-10-01,217000.0,401.85185185185185
2016-11-01,215000.0,398.14814814814815
2016-12-01,220000.0,407.4074074074074
2017-01-01,218000.0,403.7037037037037
2017-02-01,217500.0,402.77777777777777
2017-03-01,212000.0,392.5925925925926
2017-04-01,217500.0,402.77777777777777
2017-05-01,215000.0,398.14814814814815
2017-06-01,220000.0,407.4074074074074
